StationCode,Date,fieldcrew,debriscategory,Parameter,Result,resulttext,comments,downstreamupstream,segmentlength,studytype,statelocation,sccwrp_sites_rowid
San Gabriel River 185th,7/19/2018,Dana Shultz; Miranda Roethler; CR,Plastic,Plastic Other,10,,"glove, security tag, duct tape, bag rolls, lab goggles, hanger, tape",Not specified,100 ft,SoCalTally,Southern,28
San Gabriel River 185th,7/19/2018,Dana Shultz; Miranda Roethler; CR,Fabric and Cloth,"Natural (Cotton, Wool)",7,,,Not specified,100 ft,SoCalTally,Southern,28
San Gabriel River 185th,7/19/2018,Dana Shultz; Miranda Roethler; CR,Fabric and Cloth,Shoes,2,,1 shoe insert,Not specified,100 ft,SoCalTally,Southern,28
San Gabriel River 185th,7/19/2018,Dana Shultz; Miranda Roethler; CR,Fabric and Cloth,Synthetic Fabric,6,,1 glove,Not specified,100 ft,SoCalTally,Southern,28
San Gabriel River 185th,7/19/2018,Dana Shultz; Miranda Roethler; CR,Fabric and Cloth,Fabric Other,2,,"ribbon, belt",Not specified,100 ft,SoCalTally,Southern,28
San Gabriel River 185th,7/19/2018,Dana Shultz; Miranda Roethler; CR,Large,Furniture/Appliances,1,,,Not specified,100 ft,SoCalTally,Southern,28
San Gabriel River 185th,7/19/2018,Dana Shultz; Miranda Roethler; CR,Biodegradable,Food Waste,1,,,Not specified,100 ft,SoCalTally,Southern,28
San Gabriel River 185th,7/19/2018,Dana Shultz; Miranda Roethler; CR,Biodegradable,Paper/ cardboard,34,,,Not specified,100 ft,SoCalTally,Southern,28
San Gabriel River 185th,7/19/2018,Dana Shultz; Miranda Roethler; CR,Biodegradable,Biodegradable Other,2,,straw wrapper,Not specified,100 ft,SoCalTally,Southern,28
San Gabriel River 185th,7/19/2018,Dana Shultz; Miranda Roethler; CR,Biohazard,Biohazard Other,1,,feces,Not specified,100 ft,SoCalTally,Southern,28
San Gabriel River 185th,7/19/2018,Dana Shultz; Miranda Roethler; CR,Construction,Fabricated Wood,1,,,Not specified,100 ft,SoCalTally,Southern,28
San Gabriel River 185th,7/19/2018,Dana Shultz; Miranda Roethler; CR,Construction,Rebar,1,,,Not specified,100 ft,SoCalTally,Southern,28
San Gabriel River 185th,7/19/2018,Dana Shultz; Miranda Roethler; CR,Construction,Construction Other,1,,tile,Not specified,100 ft,SoCalTally,Southern,28
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Construction,Concrete/Asphalt,14,,,Not specified,100 ft,SoCalTally,Southern,7
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Construction,Fabricated Wood,5,,,Not specified,100 ft,SoCalTally,Southern,7
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Glass,Glass Pieces,32,,,Not specified,100 ft,SoCalTally,Southern,7
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Metal,"Nails, Screws, Bolts, etc.",11,,,Not specified,100 ft,SoCalTally,Southern,7
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Metal,Small Batteries,1,,,Not specified,100 ft,SoCalTally,Southern,7
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Metal,Metal Other,6,,3 metal pieces; 1 nail file; 2 keys,Not specified,100 ft,SoCalTally,Southern,7
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Miscellaneous,Misc. Other,3,,1 bike part; 1 rubber piece; 1 hair tie,Not specified,100 ft,SoCalTally,Southern,7
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Miscellaneous,E-waste,1,,,Not specified,100 ft,SoCalTally,Southern,7
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Fabric and Cloth,Synthetic Fabric,1,,,Not specified,100 ft,SoCalTally,Southern,7
Rynerson Park South,9/14/2018,Cody Fees,Plastic,Balloons,1,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Cody Fees,Plastic,Cigarette Butts,10,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Cody Fees,Plastic,Container Cap/Pieces,2,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Cody Fees,Plastic,Cups,1,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Cody Fees,Plastic,Foam Pieces/Pellets,1,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Cody Fees,Plastic,Hard Plastic Container,1,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park North,9/14/2018,Algalita 1+2,Plastic,Plastic Pipe,2,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park South,9/14/2018,Cody Fees,Plastic,Hard Plastic Pieces,26,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Cody Fees,Plastic,Lid,2,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Cody Fees,Plastic,Plastic Bottles,2,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Cody Fees,Plastic,Soft Plastic Pieces,7,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Cody Fees,Plastic,Straw/Stirrer,2,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Cody Fees,Plastic,Wrapper/Wrapper Pieces,10,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Cody Fees,Large,Large Other,2,,TV and unidentifiable large metal piece,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Cody Fees,Biodegradable,Food Waste,4,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Cody Fees,Biodegradable,Paper/ cardboard,8,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Cody Fees,Biodegradable,Biodegradable Other,1,,stick?,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Cody Fees,Construction,Concrete/Asphalt,4,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Cody Fees,Glass,Glass Pieces,-99,H,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Cody Fees,Metal,Metal Bottle Caps,2,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Cody Fees,Metal,"Nails, Screws, Bolts, etc.",25,,,Not specified,100 ft,SoCalTally,Southern,25
Craig Regional Park,6/12/2018,Miranda Roethler,Plastic,Chip Bags,4,,,Not specified,100 ft,SoCalTally,Southern,11
Rynerson Park South,9/14/2018,Cody Fees,Metal,Small Batteries,7,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Cody Fees,Metal,"Wire (barb, chicken, etc.)",1,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Cody Fees,Metal,Metal Other,28,,"includes 4 pennies, a cable, a coin, a magnet, a bike cable, miscellaneous pieces",Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Cody Fees,Miscellaneous,Ceramic Pots/Shards,2,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Cody Fees,Miscellaneous,E-waste,4,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Cody Fees,Miscellaneous,Rubber/Rubber Pieces,16,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Cody Fees,Miscellaneous,Misc. Other,4,,"expoxy squeeze tube, athletic tape, two firework (sparkler?) wastes",Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 1,Plastic,Balloons,1,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 1,Plastic,Beverage Bottles,2,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 1,Plastic,Cigarette Butts,6,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 1,Plastic,Container Cap/Pieces,2,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 1,Plastic,Foam Pieces/Pellets,1,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 1,Plastic,Hard Plastic Pieces,23,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 1,Plastic,Soft Plastic Pieces,8,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 1,Plastic,Straw/Stirrer,1,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 1,Plastic,Wrapper/Wrapper Pieces,6,,,Not specified,100 ft,SoCalTally,Southern,25
San Gabriel River Flora Vista St.,7/19/2018,Shelly Moore; Dana Shultz; Miranda Roethler; CR,Metal,"Nails, Screws, Bolts, etc.",2,,,Not specified,100 ft,SoCalTally,Southern,33
San Gabriel River Flora Vista St.,7/19/2018,Shelly Moore; Dana Shultz; Miranda Roethler; CR,Metal,Small Batteries,2,,,Not specified,100 ft,SoCalTally,Southern,33
San Gabriel River Flora Vista St.,7/19/2018,Shelly Moore; Dana Shultz; Miranda Roethler; CR,Metal,Metal Other,13,,"dime, fork, metal pieces, metal ring, ""s"" hook",Not specified,100 ft,SoCalTally,Southern,33
San Gabriel River Flora Vista St.,7/19/2018,Shelly Moore; Dana Shultz; Miranda Roethler; CR,Miscellaneous,Ceramic Pots/Shards,10,,,Not specified,100 ft,SoCalTally,Southern,33
San Gabriel River Flora Vista St.,7/19/2018,Shelly Moore; Dana Shultz; Miranda Roethler; CR,Miscellaneous,Rubber/Rubber Pieces,1,,,Not specified,100 ft,SoCalTally,Southern,33
Carol Canyon,5/29/2018,Shelly Moore; Miranda Roethler,Plastic,Tobacco Wrapper/Pieces,1,,,Not specified,100 ft,SoCalTally,Southern,6
San Gabriel River at Wardlow,9/6/2018,Miranda Roethler,Glass,Glass Pieces,5,,,Not specified,100 ft,SoCalTally,Southern,32
San Gabriel River at Wardlow,9/6/2018,Miranda Roethler,Metal,Metal Pipe/Bar Segments,1,,,Not specified,100 ft,SoCalTally,Southern,32
San Gabriel River at Wardlow,9/6/2018,Miranda Roethler,Metal,Small Batteries,2,,,Not specified,100 ft,SoCalTally,Southern,32
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Biodegradable,Paper/ cardboard,51,,,Not specified,100 ft,SoCalTally,Southern,7
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Plastic,Wrapper/Wrapper Pieces,8,,,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Plastic,Plastic Other,4,,1 tape; 1 Q-tip; 1 glove; 1 fishing line,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Fabric and Cloth,Synthetic Fabric,1,,,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Fabric and Cloth,Fabric Other,1,,1 string,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Biodegradable,Paper/ cardboard,15,,,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Biohazard,Dead Animals,3,,,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Biohazard,Pet Waste,2,,owl pellet,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Construction,Concrete/Asphalt,3,,,Not specified,100 ft,SoCalTally,Southern,8
San Gabriel River at Wardlow,9/6/2018,Miranda Roethler,Metal,Metal Other,8,,2 bobby pins; 5 metal pieces; 1 fishing lure,Not specified,100 ft,SoCalTally,Southern,32
San Gabriel River at Wardlow,9/6/2018,Miranda Roethler,Miscellaneous,E-waste,1,,,Not specified,100 ft,SoCalTally,Southern,32
San Gabriel River at Wardlow,9/6/2018,Miranda Roethler,Miscellaneous,Rubber/Rubber Pieces,4,,,Not specified,100 ft,SoCalTally,Southern,32
San Gabriel River at Wardlow,9/6/2018,Miranda Roethler,Miscellaneous,Sports Balls,2,,,Not specified,100 ft,SoCalTally,Southern,32
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Plastic,Bag - single use,2,,,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Plastic,Beverage Bottles,1,,,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Plastic,Cigarette Butts,5,,,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Plastic,Cups,1,,,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Plastic,Foam Cups,2,,,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Plastic,Foam Packing Peanuts,32,,,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Plastic,Foam Pieces/Pellets,35,,,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Plastic,Foam Plate,1,,,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Plastic,Hard Plastic Pieces,6,,,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Plastic,Lid,2,,,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Plastic,Single Use Container,1,,,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Plastic,Soft Plastic Pieces,16,,,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Plastic,Straw/Stirrer,1,,,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Plastic,Soft Plastic Pieces,12,,,Not specified,100 ft,SoCalTally,Southern,7
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Metal,Metal Bottle Caps,1,,,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Metal,Metal Pipe/Bar Segments,3,,,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Metal,"Nails, Screws, Bolts, etc.",5,,,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Metal,Small Batteries,1,,,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Metal,Metal Other,11,,8 fishhooks; 3 metal pieces,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Miscellaneous,Rubber/Rubber Pieces,2,,,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Willow,9/6/2018,Miranda Roethler,Miscellaneous,Waxed Paper Cups/Plates,1,,,Not specified,100 ft,SoCalTally,Southern,8
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Plastic,Chip Bags,1,,,Not specified,100 ft,SoCalTally,Southern,7
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Plastic,Cigarette Butts,13,,,Not specified,100 ft,SoCalTally,Southern,7
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Plastic,Foam Packing Peanuts,14,,,Not specified,100 ft,SoCalTally,Southern,7
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Plastic,Foam Pieces/Pellets,12,,,Not specified,100 ft,SoCalTally,Southern,7
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Plastic,Hard Plastic Container,1,,,Not specified,100 ft,SoCalTally,Southern,7
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Plastic,Hard Plastic Pieces,48,,,Not specified,100 ft,SoCalTally,Southern,7
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Plastic,Pens/Markers,2,,,Not specified,100 ft,SoCalTally,Southern,7
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Plastic,Tobacco Wrapper/Pieces,1,,,Not specified,100 ft,SoCalTally,Southern,7
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Plastic,Wrapper/Wrapper Pieces,5,,,Not specified,100 ft,SoCalTally,Southern,7
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Plastic,Plastic Other,3,,2 BB gun pellets; 1 earplug,Not specified,100 ft,SoCalTally,Southern,7
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Fabric and Cloth,Fabric Other,1,,1 shoelace,Not specified,100 ft,SoCalTally,Southern,7
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Biohazard,Dead Animals,2,,,Not specified,100 ft,SoCalTally,Southern,7
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Biohazard,Pet Waste,4,,,Not specified,100 ft,SoCalTally,Southern,7
Coyote Creek at Wardlow/Ball,9/6/2018,Miranda Roethler,Biohazard,Biohazard Other,1,,1 tampon,Not specified,100 ft,SoCalTally,Southern,7
Rynerson Park North,9/14/2018,Algalita 1+2,Plastic,Straw/Stirrer,1,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Algalita 1+2,Plastic,Wrapper/Wrapper Pieces,1,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Algalita 1+2,Plastic,Plastic Other,1,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Algalita 1+2,Biodegradable,Food Waste,1,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Algalita 1+2,Biodegradable,Paper/ cardboard,13,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Algalita 1+2,Construction,Fabricated Wood,1,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Algalita 1+2,Glass,Glass Pieces,-99,H,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Algalita 1+2,Metal,Aluminum Foil pieces,1,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Algalita 1+2,Metal,Auto Parts,1,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Algalita 1+2,Metal,"Nails, Screws, Bolts, etc.",9,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Algalita 1+2,Metal,Small Batteries,6,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Algalita 1+2,Metal,"Wire (barb, chicken, etc.)",5,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Algalita 1+2,Metal,Metal Other,14,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Algalita 1+2,Miscellaneous,Ceramic Pots/Shards,1,,,Not specified,100 ft,SoCalTally,Southern,24
San Gabriel River at Rosecrans,9/14/2018,SCCWRP + Algalita 1 + Algalita 2,Plastic,Lid,3,,,Not specified,100 ft,SoCalTally,Southern,31
San Gabriel River at Rosecrans,9/14/2018,SCCWRP + Algalita 1 + Algalita 2,Plastic,Plastic Straw Wrapper,4,,,Not specified,100 ft,SoCalTally,Southern,31
San Gabriel River at Rosecrans,9/14/2018,SCCWRP + Algalita 1 + Algalita 2,Plastic,Soft Plastic Pieces,25,,,Not specified,100 ft,SoCalTally,Southern,31
San Gabriel River at Rosecrans,9/14/2018,SCCWRP + Algalita 1 + Algalita 2,Plastic,Tobacco Wrapper/Pieces,1,,,Not specified,100 ft,SoCalTally,Southern,31
San Gabriel River at Rosecrans,9/14/2018,SCCWRP + Algalita 1 + Algalita 2,Plastic,Wrapper/Wrapper Pieces,28,,,Not specified,100 ft,SoCalTally,Southern,31
San Gabriel River at Rosecrans,9/14/2018,SCCWRP + Algalita 1 + Algalita 2,Plastic,Plastic Other,4,,"1 film roll, 1 fork",Not specified,100 ft,SoCalTally,Southern,31
San Gabriel River at Rosecrans,9/14/2018,SCCWRP + Algalita 1 + Algalita 2,Fabric and Cloth,Synthetic Fabric,8,,,Not specified,100 ft,SoCalTally,Southern,31
San Gabriel River at Rosecrans,9/14/2018,SCCWRP + Algalita 1 + Algalita 2,Biodegradable,Food Waste,4,,,Not specified,100 ft,SoCalTally,Southern,31
San Gabriel River at Rosecrans,9/14/2018,SCCWRP + Algalita 1 + Algalita 2,Biodegradable,Paper/ cardboard,43,,,Not specified,100 ft,SoCalTally,Southern,31
San Gabriel River at Rosecrans,9/14/2018,SCCWRP + Algalita 1 + Algalita 2,Biodegradable,Yard Waste/Leaf piles,1,,,Not specified,100 ft,SoCalTally,Southern,31
San Gabriel River at Rosecrans,9/14/2018,SCCWRP + Algalita 1 + Algalita 2,Construction,Concrete/Asphalt,2,,,Not specified,100 ft,SoCalTally,Southern,31
San Gabriel River at Rosecrans,9/14/2018,SCCWRP + Algalita 1 + Algalita 2,Glass,Glass Pieces,50,,,Not specified,100 ft,SoCalTally,Southern,31
San Gabriel River at Rosecrans,9/14/2018,SCCWRP + Algalita 1 + Algalita 2,Metal,Aluminum Foil pieces,7,,,Not specified,100 ft,SoCalTally,Southern,31
San Gabriel River at Rosecrans,9/14/2018,SCCWRP + Algalita 1 + Algalita 2,Metal,"Nails, Screws, Bolts, etc.",3,,,Not specified,100 ft,SoCalTally,Southern,31
San Gabriel River at Rosecrans,9/14/2018,SCCWRP + Algalita 1 + Algalita 2,Metal,"Wire (barb, chicken, etc.)",7,,,Not specified,100 ft,SoCalTally,Southern,31
San Gabriel River at Rosecrans,9/14/2018,SCCWRP + Algalita 1 + Algalita 2,Metal,Metal Other,14,,"1 knife, 1 coin, 2 pieces",Not specified,100 ft,SoCalTally,Southern,31
San Gabriel River at Rosecrans,9/14/2018,SCCWRP + Algalita 1 + Algalita 2,Miscellaneous,Ceramic Pots/Shards,2,,,Not specified,100 ft,SoCalTally,Southern,31
San Diego Creek (0-100ft),9/13/2019,Dana Shultz/Raeann,Plastic,Beverage Bottles,21,,,Not specified,100 ft,SoCalTally,Southern,26
San Gabriel River at Rosecrans,9/14/2018,SCCWRP + Algalita 1 + Algalita 2,Miscellaneous,Rubber/Rubber Pieces,3,,,Not specified,100 ft,SoCalTally,Southern,31
San Gabriel River at Rosecrans,9/14/2018,SCCWRP + Algalita 1 + Algalita 2,Miscellaneous,Misc. Other,1,,gum,Not specified,100 ft,SoCalTally,Southern,31
San Gabriel River at Rosecrans,9/14/2018,SCCWRP + Algalita 1 + Algalita 2,Plastic,Straw/Stirrer,4,,,Not specified,100 ft,SoCalTally,Southern,31
Greenville - Banning Channel (0-300ft),10/18/2019,Raeann Iller/Miranda Roethler,Plastic,Straw/Stirrer,30,,,Not specified,300 ft,SoCalTally,Southern,16
Craig Park (0-100ft),9/11/2019,Shelly Moore/Miranda Roethler,Plastic,Bag - single use,20,,,Not specified,100 ft,SoCalTally,Southern,9
Craig Park (0-100ft),9/11/2019,Shelly Moore/Miranda Roethler,Plastic,Foam Pieces/Pellets,13,,,Not specified,100 ft,SoCalTally,Southern,9
Craig Park (0-100ft),9/11/2019,Shelly Moore/Miranda Roethler,Plastic,Hard Plastic Pieces,3,,,Not specified,100 ft,SoCalTally,Southern,9
Craig Park (0-100ft),9/11/2019,Shelly Moore/Miranda Roethler,Plastic,Plastic Bottles,1,,,Not specified,100 ft,SoCalTally,Southern,9
Craig Park (0-100ft),9/11/2019,Shelly Moore/Miranda Roethler,Plastic,Single Use Container,1,,,Not specified,100 ft,SoCalTally,Southern,9
Craig Park (0-100ft),9/11/2019,Shelly Moore/Miranda Roethler,Plastic,Soft Plastic Pieces,25,,,Not specified,100 ft,SoCalTally,Southern,9
Craig Park (0-100ft),9/11/2019,Shelly Moore/Miranda Roethler,Plastic,Plastic Other,2,,One glove and one caution tape,Not specified,100 ft,SoCalTally,Southern,9
Craig Park (0-100ft),9/11/2019,Shelly Moore/Miranda Roethler,Fabric and Cloth,"Natural (Cotton, Wool)",1,,,Not specified,100 ft,SoCalTally,Southern,9
Craig Park (0-100ft),9/11/2019,Shelly Moore/Miranda Roethler,Biodegradable,Paper/ cardboard,25,,,Not specified,100 ft,SoCalTally,Southern,9
Craig Park (0-100ft),9/11/2019,Shelly Moore/Miranda Roethler,Glass,Glass Pieces,1,,,Not specified,100 ft,SoCalTally,Southern,9
Craig Park (0-100ft),9/11/2019,Shelly Moore/Miranda Roethler,Metal,Aluminum Foil pieces,41,,,Not specified,100 ft,SoCalTally,Southern,9
Greenville - Banning Channel (0-100ft),10/18/2019,Raeann Iller,Plastic,Bag - reusable,3,,,Not specified,100 ft,SoCalTally,Southern,15
Greenville - Banning Channel (0-100ft),10/18/2019,Raeann Iller,Plastic,Bag - single use,83,,,Not specified,100 ft,SoCalTally,Southern,15
Greenville - Banning Channel (0-100ft),10/18/2019,Raeann Iller,Plastic,Bag Pieces,27,,,Not specified,100 ft,SoCalTally,Southern,15
Greenville - Banning Channel (0-100ft),10/18/2019,Raeann Iller,Plastic,Balloons,2,,,Not specified,100 ft,SoCalTally,Southern,15
Greenville - Banning Channel (0-100ft),10/18/2019,Raeann Iller,Plastic,Beverage Bottles,34,,,Not specified,100 ft,SoCalTally,Southern,15
Greenville - Banning Channel (0-100ft),10/18/2019,Raeann Iller,Plastic,Chip Bags,9,,,Not specified,100 ft,SoCalTally,Southern,15
Greenville - Banning Channel (0-100ft),10/18/2019,Raeann Iller,Plastic,Cigarette Butts,5,,,Not specified,100 ft,SoCalTally,Southern,15
Greenville - Banning Channel (0-100ft),10/18/2019,Raeann Iller,Plastic,Container Cap/Pieces,12,,,Not specified,100 ft,SoCalTally,Southern,15
Greenville - Banning Channel (0-100ft),10/18/2019,Raeann Iller,Plastic,Cups,13,,,Not specified,100 ft,SoCalTally,Southern,15
Craig Park (0-100ft),9/11/2019,Shelly Moore/Miranda Roethler,Plastic,Beverage Bottles,1,,,Not specified,100 ft,SoCalTally,Southern,9
Craig Park (0-100ft),9/11/2019,Shelly Moore/Miranda Roethler,Plastic,Chip Bags,10,,,Not specified,100 ft,SoCalTally,Southern,9
Craig Park (0-100ft),9/11/2019,Shelly Moore/Miranda Roethler,Plastic,Cups,1,,,Not specified,100 ft,SoCalTally,Southern,9
Craig Park (0-100ft),9/11/2019,Shelly Moore/Miranda Roethler,Plastic,Foam Cups,3,,,Not specified,100 ft,SoCalTally,Southern,9
Craig Park (0-100ft),9/11/2019,Shelly Moore/Miranda Roethler,Plastic,Foam Other Containers,3,,Plate,Not specified,100 ft,SoCalTally,Southern,9
Greenville - Banning Channel (0-100ft),10/18/2019,Raeann Iller,Plastic,Foam Pieces/Pellets,48,,,Not specified,100 ft,SoCalTally,Southern,15
Greenville - Banning Channel (0-100ft),10/18/2019,Raeann Iller,Plastic,Foam Plate,1,,,Not specified,100 ft,SoCalTally,Southern,15
Greenville - Banning Channel (0-100ft),10/18/2019,Raeann Iller,Plastic,Hard Plastic Container,7,,,Not specified,100 ft,SoCalTally,Southern,15
Greenville - Banning Channel (0-100ft),10/18/2019,Raeann Iller,Plastic,Hard Plastic Pieces,75,,,Not specified,100 ft,SoCalTally,Southern,15
